[5] train loss: 5.827322043478489, train metric: 19.298811048269272, lr: 0.0010000000474974513
[10] train loss: 37.50794592499733, train metric: 22.478154838085175, lr: 0.000999937648884952
[15] train loss: 24.77516060322523, train metric: 24.453787446022034, lr: 0.0009997508022934198
[20] train loss: 11.13463643193245, train metric: 15.061609923839569, lr: 0.0009994393913075328
[25] train loss: 20.644297800958157, train metric: 16.777653872966766, lr: 0.000999003415927291
[30] train loss: 19.92570661008358, train metric: 27.000977754592896, lr: 0.0009984431089833379
[35] train loss: 33.36940950900316, train metric: 31.374654233455658, lr: 0.0009977585868909955
[40] train loss: 12.799414053559303, train metric: 36.75468289852142, lr: 0.0009969500824809074
[45] train loss: 107.22191256284714, train metric: 32.35677444934845, lr: 0.0009960177121683955
[50] train loss: 13.11123513430357, train metric: 44.089255571365356, lr: 0.0009949617087841034
[55] train loss: 11.982558578252792, train metric: 41.54656085371971, lr: 0.0009937823051586747
[60] train loss: 26.86110793799162, train metric: 21.51895120739937, lr: 0.000992479850538075
[65] train loss: 47.83717876672745, train metric: 29.579492330551147, lr: 0.0009910546941682696
[70] train loss: 10.277145504951477, train metric: 35.230823278427124, lr: 0.0009895070688799024
[75] train loss: 29.9456075578928, train metric: 26.54310667514801, lr: 0.0009878375567495823
[80] train loss: 62.91710764169693, train metric: 21.777683973312378, lr: 0.000986046390607953
[85] train loss: 21.63777267932892, train metric: 26.2484347820282, lr: 0.0009841341525316238
[90] train loss: 14.988931328058243, train metric: 29.053200602531433, lr: 0.00098210119176656
[95] train loss: 38.968439280986786, train metric: 26.414100170135498, lr: 0.0009799482068046927
[100] train loss: 48.42962555587292, train metric: 31.441792249679565, lr: 0.0009776754304766655
[105] train loss: 42.41165933012962, train metric: 23.78871387243271, lr: 0.000975283735897392
[110] train loss: 40.7603869587183, train metric: 16.878379076719284, lr: 0.0009727735887281597
[115] train loss: 35.434680581092834, train metric: 18.53997939825058, lr: 0.0009701455710455775
[120] train loss: 27.416134729981422, train metric: 20.762726604938507, lr: 0.0009674003813415766
[125] train loss: 16.731961980462074, train metric: 15.898349642753601, lr: 0.0009645387181080878
[130] train loss: 34.00209130346775, train metric: 34.51891702413559, lr: 0.0009615612798370421
[135] train loss: 9.282552644610405, train metric: 25.195821285247803, lr: 0.0009584688232280314
[140] train loss: 72.83838585019112, train metric: 27.045847475528717, lr: 0.0009552621049806476
[145] train loss: 223.40822106599808, train metric: 41.719038009643555, lr: 0.0009519418817944825
[150] train loss: 6.560092352330685, train metric: 29.905772864818573, lr: 0.0009485090849921107
[155] train loss: 134.3384709507227, train metric: 42.17052799463272, lr: 0.0009449644712731242
[160] train loss: 6.992936491966248, train metric: 29.856783092021942, lr: 0.0009413089719600976
[165] train loss: 34.92339859157801, train metric: 30.287652671337128, lr: 0.0009375435183756053
[170] train loss: 24.210453435778618, train metric: 27.013220012187958, lr: 0.0009336689836345613
[175] train loss: 9.298185124993324, train metric: 23.45807582139969, lr: 0.0009296864154748619
