[20] train loss: 0.5492189675569534, lr: 9.994393622037023e-05
[40] train loss: 0.4069289080798626, lr: 9.969501115847379e-05
[60] train loss: 0.5163939967751503, lr: 9.924798359861597e-05
[80] train loss: 0.44912954419851303, lr: 9.860464342636988e-05
[100] train loss: 0.5485767722129822, lr: 9.776754450285807e-05
[120] train loss: 0.9278024062514305, lr: 9.67400410445407e-05
[140] train loss: 1.0803794227540493, lr: 9.552620758768171e-05
[160] train loss: 0.862885370850563, lr: 9.413089719600976e-05
[180] train loss: 0.46555186063051224, lr: 9.255966870114207e-05
[200] train loss: 0.4122942164540291, lr: 9.081878670258448e-05
[220] train loss: 0.9625741243362427, lr: 8.891518518794328e-05
[240] train loss: 2.7483167722821236, lr: 8.68564602569677e-05
[260] train loss: 2.180054634809494, lr: 8.46508119138889e-05
[280] train loss: 1.935860350728035, lr: 8.230703679146245e-05
[300] train loss: 0.6285079717636108, lr: 7.983447721926495e-05
[320] train loss: 1.3629784546792507, lr: 7.724298484390602e-05
[340] train loss: 1.7565291821956635, lr: 7.454289880115539e-05
[360] train loss: 0.5160404965281487, lr: 7.174497295636684e-05
[380] train loss: 2.322694957256317, lr: 6.886036862852052e-05
[400] train loss: 0.7844907194375992, lr: 6.590057455468923e-05
[420] train loss: 1.2072424590587616, lr: 6.28774068900384e-05
[440] train loss: 0.6987251974642277, lr: 5.980289643048309e-05
[460] train loss: 0.834721315652132, lr: 5.668931407853961e-05
[480] train loss: 3.2343669533729553, lr: 5.354906534194015e-05
[500] train loss: 18.545557752251625, lr: 5.039466850575991e-05
[520] train loss: 1.3003271520137787, lr: 4.999999873689376e-05
[540] train loss: 0.6829340904951096, lr: 4.999999873689376e-05
[560] train loss: 0.42079736292362213, lr: 4.999999873689376e-05
[580] train loss: 0.8177559226751328, lr: 4.999999873689376e-05
[600] train loss: 0.7739617377519608, lr: 4.999999873689376e-05
[620] train loss: 0.6821819096803665, lr: 4.999999873689376e-05
[640] train loss: 1.5930356606841087, lr: 4.999999873689376e-05
[660] train loss: 1.08564130961895, lr: 4.999999873689376e-05
[680] train loss: 1.8050194904208183, lr: 4.999999873689376e-05
[700] train loss: 0.9342037066817284, lr: 4.999999873689376e-05
[720] train loss: 1.4067260511219501, lr: 4.999999873689376e-05
[740] train loss: 2.825872376561165, lr: 4.999999873689376e-05
[760] train loss: 1.936803974211216, lr: 4.999999873689376e-05
[780] train loss: 2.803852751851082, lr: 4.999999873689376e-05
[800] train loss: 1.7433903068304062, lr: 4.999999873689376e-05
[820] train loss: 0.6995042897760868, lr: 4.999999873689376e-05
[840] train loss: 2.017723187804222, lr: 4.999999873689376e-05
[860] train loss: 1.6404387280344963, lr: 4.999999873689376e-05
[880] train loss: 0.8889789506793022, lr: 4.999999873689376e-05
[900] train loss: 0.9170535132288933, lr: 4.999999873689376e-05
[920] train loss: 0.7259369790554047, lr: 4.999999873689376e-05
[940] train loss: 0.6423470489680767, lr: 4.999999873689376e-05
[960] train loss: 0.5417773462831974, lr: 4.999999873689376e-05
[980] train loss: 0.6080969050526619, lr: 4.999999873689376e-05
[1000] train loss: 0.5369325950741768, lr: 4.999999873689376e-05
[1020] train loss: 0.3184722885489464, lr: 9.994393622037023e-05
[1040] train loss: 15.562149167060852, lr: 9.969501115847379e-05
[1060] train loss: 4.2912521958351135, lr: 9.924798359861597e-05
[1080] train loss: 1.2880880534648895, lr: 9.860464342636988e-05
[1100] train loss: 1.225957214832306, lr: 9.776754450285807e-05
[1120] train loss: 2.476376712322235, lr: 9.67400410445407e-05
[1140] train loss: 4.796938389539719, lr: 9.552620758768171e-05
[1160] train loss: 1.3636909127235413, lr: 9.413089719600976e-05
[1180] train loss: 0.9931836277246475, lr: 9.255966870114207e-05
[1200] train loss: 0.6021975949406624, lr: 9.081878670258448e-05
[1220] train loss: 0.4766106903553009, lr: 8.891518518794328e-05
[1240] train loss: 0.623102456331253, lr: 8.68564602569677e-05
[1260] train loss: 0.5477279126644135, lr: 8.46508119138889e-05
[1280] train loss: 0.8911020159721375, lr: 8.230703679146245e-05
[1300] train loss: 0.7556485384702682, lr: 7.983447721926495e-05
[1320] train loss: 0.7755515202879906, lr: 7.724298484390602e-05
[1340] train loss: 0.5902884751558304, lr: 7.454289880115539e-05
[1360] train loss: 0.9398967921733856, lr: 7.174497295636684e-05
[1380] train loss: 0.9025273695588112, lr: 6.886036862852052e-05
[1400] train loss: 1.3922056034207344, lr: 6.590057455468923e-05
[1420] train loss: 0.858340322971344, lr: 6.28774068900384e-05
[1440] train loss: 1.317242681980133, lr: 5.980289643048309e-05
[1460] train loss: 0.9746209532022476, lr: 5.668931407853961e-05
[1480] train loss: 0.9375776648521423, lr: 5.354906534194015e-05
[1500] train loss: 0.8536715805530548, lr: 5.039466850575991e-05
[1520] train loss: 0.5213806331157684, lr: 4.999999873689376e-05
[1540] train loss: 1.2781786769628525, lr: 4.999999873689376e-05
[1560] train loss: 1.3373836427927017, lr: 4.999999873689376e-05
[1580] train loss: 0.6128414571285248, lr: 4.999999873689376e-05
[1600] train loss: 2.8244195580482483, lr: 4.999999873689376e-05
[1620] train loss: 3.2919534742832184, lr: 4.999999873689376e-05
[1640] train loss: 3.222699895501137, lr: 4.999999873689376e-05
[1660] train loss: 1.5392985045909882, lr: 4.999999873689376e-05
[1680] train loss: 0.7244930416345596, lr: 4.999999873689376e-05
[1700] train loss: 0.7874246686697006, lr: 4.999999873689376e-05
[1720] train loss: 1.9359170496463776, lr: 4.999999873689376e-05
[1740] train loss: 0.8246667310595512, lr: 4.999999873689376e-05
[1760] train loss: 0.3846803307533264, lr: 4.999999873689376e-05
[1780] train loss: 0.5284425243735313, lr: 4.999999873689376e-05
[1800] train loss: 0.6596468612551689, lr: 4.999999873689376e-05
[1820] train loss: 0.5609360933303833, lr: 4.999999873689376e-05
[1840] train loss: 0.513832300901413, lr: 4.999999873689376e-05
[1860] train loss: 0.6135331690311432, lr: 4.999999873689376e-05
[1880] train loss: 0.3888190910220146, lr: 4.999999873689376e-05
[1900] train loss: 0.7305049449205399, lr: 4.999999873689376e-05
[1920] train loss: 0.41156305372714996, lr: 4.999999873689376e-05
[1940] train loss: 0.43835315853357315, lr: 4.999999873689376e-05
[1960] train loss: 1.0258539393544197, lr: 4.999999873689376e-05
[1980] train loss: 0.6753608509898186, lr: 4.999999873689376e-05
[2000] train loss: 1.468699797987938, lr: 4.999999873689376e-05
[2020] train loss: 1.74247145652771, lr: 9.994393622037023e-05
[2040] train loss: 1.6642644703388214, lr: 9.969501115847379e-05
[2060] train loss: 1.0244682431221008, lr: 9.924798359861597e-05
[2080] train loss: 0.587368056178093, lr: 9.860464342636988e-05
[2100] train loss: 0.49747686460614204, lr: 9.776754450285807e-05
[2120] train loss: 0.35127586871385574, lr: 9.67400410445407e-05
[2140] train loss: 0.2617898918688297, lr: 9.552620758768171e-05
[2160] train loss: 0.4068460389971733, lr: 9.413089719600976e-05
[2180] train loss: 0.34633340686559677, lr: 9.255966870114207e-05
[2200] train loss: 0.4386848211288452, lr: 9.081878670258448e-05
[2220] train loss: 0.3328768275678158, lr: 8.891518518794328e-05
[2240] train loss: 0.3113600127398968, lr: 8.68564602569677e-05
[2260] train loss: 0.4169246517121792, lr: 8.46508119138889e-05
[2280] train loss: 0.4274236485362053, lr: 8.230703679146245e-05
[2300] train loss: 0.42831722646951675, lr: 7.983447721926495e-05
[2320] train loss: 0.6281722858548164, lr: 7.724298484390602e-05
[2340] train loss: 0.3822157606482506, lr: 7.454289880115539e-05
[2360] train loss: 0.3866102397441864, lr: 7.174497295636684e-05
[2380] train loss: 0.5315662398934364, lr: 6.886036862852052e-05
[2400] train loss: 0.4868117645382881, lr: 6.590057455468923e-05
[2420] train loss: 0.23973922803997993, lr: 6.28774068900384e-05
[2440] train loss: 0.25437454506754875, lr: 5.980289643048309e-05
[2460] train loss: 0.18593750521540642, lr: 5.668931407853961e-05
[2480] train loss: 0.6903180032968521, lr: 5.354906534194015e-05
[2500] train loss: 0.4027124121785164, lr: 5.039466850575991e-05
[2520] train loss: 0.3349034786224365, lr: 4.999999873689376e-05
[2540] train loss: 0.5067370757460594, lr: 4.999999873689376e-05
[2560] train loss: 0.28303050249814987, lr: 4.999999873689376e-05
[2580] train loss: 0.9993599653244019, lr: 4.999999873689376e-05
[2600] train loss: 0.5408374071121216, lr: 4.999999873689376e-05
[2620] train loss: 0.3307304382324219, lr: 4.999999873689376e-05
[2640] train loss: 0.22397339716553688, lr: 4.999999873689376e-05
[2660] train loss: 0.2797393575310707, lr: 4.999999873689376e-05
[2680] train loss: 0.284423615783453, lr: 4.999999873689376e-05
[2700] train loss: 0.2604192681610584, lr: 4.999999873689376e-05
[2720] train loss: 0.33437585085630417, lr: 4.999999873689376e-05
[2740] train loss: 0.24910913407802582, lr: 4.999999873689376e-05
[2760] train loss: 0.23401513323187828, lr: 4.999999873689376e-05
[2780] train loss: 0.21928123570978642, lr: 4.999999873689376e-05
[2800] train loss: 0.24901463091373444, lr: 4.999999873689376e-05
[2820] train loss: 0.30295234732329845, lr: 4.999999873689376e-05
[2840] train loss: 0.2627593167126179, lr: 4.999999873689376e-05
[2860] train loss: 0.25932687893509865, lr: 4.999999873689376e-05
[2880] train loss: 0.33885423839092255, lr: 4.999999873689376e-05
[2900] train loss: 0.2757200188934803, lr: 4.999999873689376e-05
[2920] train loss: 0.33513598144054413, lr: 4.999999873689376e-05
[2940] train loss: 0.25720522552728653, lr: 4.999999873689376e-05
[2960] train loss: 0.21290114149451256, lr: 4.999999873689376e-05
[2980] train loss: 0.2665785327553749, lr: 4.999999873689376e-05
[3000] train loss: 0.33527717739343643, lr: 4.999999873689376e-05
[3020] train loss: 0.3545023947954178, lr: 9.994393622037023e-05
[3040] train loss: 0.5380563959479332, lr: 9.969501115847379e-05
[3060] train loss: 0.35258176922798157, lr: 9.924798359861597e-05
[3080] train loss: 0.8842913210391998, lr: 9.860464342636988e-05
[3100] train loss: 0.5733359530568123, lr: 9.776754450285807e-05
[3120] train loss: 0.47710511833429337, lr: 9.67400410445407e-05
[3140] train loss: 0.421006940305233, lr: 9.552620758768171e-05
[3160] train loss: 0.4254390634596348, lr: 9.413089719600976e-05
[3180] train loss: 0.32012857496738434, lr: 9.255966870114207e-05
[3200] train loss: 0.44592292606830597, lr: 9.081878670258448e-05
[3220] train loss: 1.2229358609765768, lr: 8.891518518794328e-05
[3240] train loss: 0.30556151270866394, lr: 8.68564602569677e-05
[3260] train loss: 0.28889814764261246, lr: 8.46508119138889e-05
[3280] train loss: 0.2149701863527298, lr: 8.230703679146245e-05
[3300] train loss: 0.21766411513090134, lr: 7.983447721926495e-05
[3320] train loss: 0.3799666613340378, lr: 7.724298484390602e-05
[3340] train loss: 0.44270655512809753, lr: 7.454289880115539e-05
[3360] train loss: 0.6183629930019379, lr: 7.174497295636684e-05
[3380] train loss: 0.5524565055966377, lr: 6.886036862852052e-05
[3400] train loss: 0.4990011863410473, lr: 6.590057455468923e-05
[3420] train loss: 1.6574054136872292, lr: 6.28774068900384e-05
[3440] train loss: 2.164859727025032, lr: 5.980289643048309e-05
[3460] train loss: 2.7024688199162483, lr: 5.668931407853961e-05
[3480] train loss: 5.65951382368803, lr: 5.354906534194015e-05
[3500] train loss: 4.0398180186748505, lr: 5.039466850575991e-05
[3520] train loss: 6.288817699998617, lr: 4.999999873689376e-05
[3540] train loss: 1.248809739947319, lr: 4.999999873689376e-05
[3560] train loss: 0.7824173048138618, lr: 4.999999873689376e-05
[3580] train loss: 0.9262025505304337, lr: 4.999999873689376e-05
[3600] train loss: 0.7379920482635498, lr: 4.999999873689376e-05
[3620] train loss: 0.3920929320156574, lr: 4.999999873689376e-05
[3640] train loss: 0.5661902204155922, lr: 4.999999873689376e-05
[3660] train loss: 0.27058521658182144, lr: 4.999999873689376e-05
[3680] train loss: 0.36404938995838165, lr: 4.999999873689376e-05
[3700] train loss: 0.3518664166331291, lr: 4.999999873689376e-05
[3720] train loss: 0.32154737785458565, lr: 4.999999873689376e-05
[3740] train loss: 0.3307852577418089, lr: 4.999999873689376e-05
[3760] train loss: 0.24909879453480244, lr: 4.999999873689376e-05
[3780] train loss: 0.31376761943101883, lr: 4.999999873689376e-05
[3800] train loss: 0.2146516665816307, lr: 4.999999873689376e-05
[3820] train loss: 0.29196079075336456, lr: 4.999999873689376e-05
[3840] train loss: 0.223261971026659, lr: 4.999999873689376e-05
[3860] train loss: 0.38061485067009926, lr: 4.999999873689376e-05
[3880] train loss: 0.47130776941776276, lr: 4.999999873689376e-05
[3900] train loss: 0.5812899842858315, lr: 4.999999873689376e-05
[3920] train loss: 0.4732656106352806, lr: 4.999999873689376e-05
[3940] train loss: 0.2529277503490448, lr: 4.999999873689376e-05
[3960] train loss: 0.28350818529725075, lr: 4.999999873689376e-05
[3980] train loss: 0.3666912280023098, lr: 4.999999873689376e-05
[4000] train loss: 0.4560469575226307, lr: 4.999999873689376e-05
[4020] train loss: 0.26303649321198463, lr: 9.994393622037023e-05
[4040] train loss: 0.23105328530073166, lr: 9.969501115847379e-05
[4060] train loss: 0.36860770359635353, lr: 9.924798359861597e-05
[4080] train loss: 0.43590810149908066, lr: 9.860464342636988e-05
[4100] train loss: 26.772518306970596, lr: 9.776754450285807e-05
[4120] train loss: 12.66562482714653, lr: 9.67400410445407e-05
[4140] train loss: 1.2885132357478142, lr: 9.552620758768171e-05
[4160] train loss: 8.454034201800823, lr: 9.413089719600976e-05
[4180] train loss: 0.8151359781622887, lr: 9.255966870114207e-05
[4200] train loss: 0.5349422991275787, lr: 9.081878670258448e-05
[4220] train loss: 2.634474128484726, lr: 8.891518518794328e-05
[4240] train loss: 8.414400517940521, lr: 8.68564602569677e-05
[4260] train loss: 1.3633181005716324, lr: 8.46508119138889e-05
[4280] train loss: 2.3224416971206665, lr: 8.230703679146245e-05
[4300] train loss: 11.246332332491875, lr: 7.983447721926495e-05
[4320] train loss: 2.984483629465103, lr: 7.724298484390602e-05
[4340] train loss: 2.758529655635357, lr: 7.454289880115539e-05
[4360] train loss: 0.8385964184999466, lr: 7.174497295636684e-05
[4380] train loss: 0.9548460394144058, lr: 6.886036862852052e-05
[4400] train loss: 0.6189512684941292, lr: 6.590057455468923e-05
[4420] train loss: 0.4773220419883728, lr: 6.28774068900384e-05
[4440] train loss: 0.4705652743577957, lr: 5.980289643048309e-05
[4460] train loss: 0.4829195439815521, lr: 5.668931407853961e-05
[4480] train loss: 0.9601798504590988, lr: 5.354906534194015e-05
[4500] train loss: 0.5662539005279541, lr: 5.039466850575991e-05
[4520] train loss: 1.4933677539229393, lr: 4.999999873689376e-05
[4540] train loss: 3.697679575532675, lr: 4.999999873689376e-05
[4560] train loss: 3.0944777876138687, lr: 4.999999873689376e-05
[4580] train loss: 3.677801512181759, lr: 4.999999873689376e-05
[4600] train loss: 7.485954239964485, lr: 4.999999873689376e-05
[4620] train loss: 2.9027583301067352, lr: 4.999999873689376e-05
[4640] train loss: 1.6406414583325386, lr: 4.999999873689376e-05
[4660] train loss: 1.922452762722969, lr: 4.999999873689376e-05
[4680] train loss: 8.421616822481155, lr: 4.999999873689376e-05
[4700] train loss: 13.809102520346642, lr: 4.999999873689376e-05
[4720] train loss: 2.45016086101532, lr: 4.999999873689376e-05
[4740] train loss: 4.800941318273544, lr: 4.999999873689376e-05
[4760] train loss: 12.733436822891235, lr: 4.999999873689376e-05
[4780] train loss: 2.8916777968406677, lr: 4.999999873689376e-05
[4800] train loss: 3.7038770765066147, lr: 4.999999873689376e-05
[4820] train loss: 2.465811535716057, lr: 4.999999873689376e-05
[4840] train loss: 6.712804868817329, lr: 4.999999873689376e-05
[4860] train loss: 2.0927436351776123, lr: 4.999999873689376e-05
[4880] train loss: 1.3491819649934769, lr: 4.999999873689376e-05
[4900] train loss: 3.3160945028066635, lr: 4.999999873689376e-05
[4920] train loss: 1.3624969944357872, lr: 4.999999873689376e-05
[4940] train loss: 3.4721808806061745, lr: 4.999999873689376e-05
[4960] train loss: 1.8981437906622887, lr: 4.999999873689376e-05
[4980] train loss: 2.65938887745142, lr: 4.999999873689376e-05
[5000] train loss: 1.0471626073122025, lr: 4.999999873689376e-05
[5020] train loss: 0.6043684780597687, lr: 9.994393622037023e-05
[5040] train loss: 0.36996378749608994, lr: 9.969501115847379e-05
[5060] train loss: 0.37238647788763046, lr: 9.924798359861597e-05
[5080] train loss: 0.3167708031833172, lr: 9.860464342636988e-05
